region,siteID,dateVisit,species,birdID,timeEnc,observerCapture,typeCapture,bandNumber,colorComboL,colorComboR,age,sex,dispositionCode
Raleigh,HAHNMARNC1,2016-05-13,CARW,2711-64151,09:30:00,"KFJ,JIC",B,2711-64151,X,YR,AHY,F,1
Raleigh,HAHNMARNC1,2016-05-13,SOSP,2711-64151,09:30:00,"KFJ,JIC",B,2711-64151,R,OX,AHY,F,1
Pittsburgh,KIRSCHRPA1,2015-07-25,SOSP,2711-77581,NA,NA,B,2711-77581,W,X,ASY,M,1
Pittsburgh,KIRSCHRPA1,2015-07-25,TUTI,2711-77581,NA,NA,B,2711-77581,XB,G,ASY,M,1
DC,SANFCARMD1,2016-07-14,SOSP,2711-77581,09:05:00,"KJW,MAR",B,2711-77581,W,X,AHY,U,1
DC,SANFCARMD1,2016-07-14,TUTI,2711-77581,09:05:00,"KJW,MAR",B,2711-77581,XB,G,AHY,U,1
DC,WILDANNVA2,2016-07-21,CARW,2741-54406,07:20:00,vem,B,2741-54406,RX,O,SY,U,1
DC,WILDANNVA2,2016-07-21,SOSP,2741-54406,07:20:00,vem,B,2741-54406,X,BB,SY,U,1
DC,WILDANNVA2,2016-07-21,CARW,2741-54406,07:45:00,vem,B,2741-54406,RX,O,AHY,F,1
DC,WILDANNVA2,2016-07-21,SOSP,2741-54406,07:45:00,vem,B,2741-54406,X,BB,AHY,F,1
DC,OWENKATMD1,2016-06-30,CARW,2741-54630,08:35:00,JLM,B,2741-54630,X,KG,AHY,F,1
DC,OWENKATMD1,2016-06-30,SOSP,2741-54630,08:35:00,JLM,B,2741-54630,X,WR,AHY,F,1
DC,YOUNELIMD1,2016-07-01,CARW,2741-54630,08:07:00,JLM,B,2741-54630,X,KG,AHY,M,1
DC,YOUNELIMD1,2016-07-01,SOSP,2741-54630,08:07:00,JLM,B,2741-54630,X,WR,AHY,M,1
Springfield,BOUDLYNMA1,2016-06-01,BCCH,2750-34950,08:30:00,SMB,B,2750-34950,O,XB,AHY,F,1
Springfield,BOUDLYNMA1,2016-06-01,HOWR,2750-34950,08:30:00,SMB,B,2750-34950,YB,X,AHY,F,1
Springfield,BOUDLYNMA1,2016-06-01,BCCH,2750-34950,09:45:00,SMB,B,2750-34950,O,XB,SY,M,1
Springfield,BOUDLYNMA1,2016-06-01,HOWR,2750-34950,09:45:00,SMB,B,2750-34950,YB,X,SY,M,1
DC,BUISNORVA1,2016-07-05,CACH,2750-64359,08:25:00,JLM,B,2750-64359,X,BM,NA,NA,1
DC,BUISNORVA1,2016-07-05,HOWR,2750-64359,08:25:00,JLM,B,2750-64359,OB,X,NA,NA,1
DC,WOODPAUVA1,2016-07-11,CACH,2750-64359,08:43:00,JLM,B,2750-64359,X,BM,AHY,F,1
DC,WOODPAUVA1,2016-07-11,HOWR,2750-64359,08:43:00,JLM,B,2750-64359,OB,X,AHY,F,1
DC,SOLLCHRMD1,2016-07-01,CACH,275044554,NA,vem,B,275044554,R,RX,AHY,M,1
DC,SOLLCHRMD1,2016-07-01,HOWR,275044554,NA,vem,B,275044554,BB,X,AHY,M,1
DC,SOLLCHRMD1,2016-07-01,CACH,275044554,08:35:00,vem,B,275044554,R,RX,HY,U,1
DC,SOLLCHRMD1,2016-07-01,HOWR,275044554,08:35:00,vem,B,275044554,BB,X,HY,U,1
