siteID,date,observer,number,startTime,endTime,pathDistance
HANSAMYNC1,2016-05-13,AJB,1,11:20,12:38,-99999
SHAHMAUFL1,2016-05-07,ZZ,1,07:00,09:00,-99999
HOSTMARFL1,2016-05-09,ZZ,1,07:20,09:00,-99999
PRESHOUFL1,2016-05-10,ZZ,1,07:15,08:45,-99999
WEBBTOMFL1,2016-05-11,ZZ,1,07:25,08:45,-99999
KRATANDFL1,2016-05-12,ZZ,1,07:25,09:00,-99999
HEINANNFL1,2016-05-13,ZZ,1,07:15,08:30,-99999
LICHJERFL1,2016-05-15,ZZ,1,07:10,08:30,-99999
TATEJUAMD1,2016-05-17,KPK,1,11:20,12:27,2210
LYCEEESMD1,2016-05-18,"ERF,JLM,KPK,AEH",1,11:46,14:06,2271
FORESESMD1,2016-05-19,"JLM,KPK,AEH,ERF",1,11:38,12:38,6000
GERWJOHNC1,2016-05-18,"ELB, EAL, TMC",1,00:01,NA:NA,-99999
ARCADIAMA1,2016-08-02,"TMB, SMB",1,00:01,NA:NA,-99999
CASTTOMNC1,2016-05-11,AJB,1,11:50,13:07,-99999
DEBRMARNC1,2016-04-27,AJB,1,11:40,12:40,-99999
KALIELINC1,2016-05-07,AJB,1,11:32,12:39,-99999
LADYKENNC1,2016-05-04,AJB,1,11:27,12:35,-99999
SIMPEDWNC1,2016-05-12,AJB,1,12:10,13:09,-99999
TAYLJERNC1,2016-05-10,AJB,1,11:50,12:56,-99999
WHEEJENNC1,2016-05-14,AJB,1,12:42,13:47,-99999
WOLFMARNC1,2016-04-20,AJB,1,11:15,12:21,-99999
ADAMVICFL1,2016-05-17,ZZ,1,07:15,08:30,-99999
BAILEESVA1,2016-05-20,"JLM,KPK,AEH,ERF",1,12:45,15:20,3120
SPLAMARMA2,2016-05-20,"TMB, SMB, SLG",1,11:39,12:42,1700
HILLSALMA1,2016-05-18,"SMB, SLG",1,11:45,12:50,2300
HOWAJANMA1,2016-05-19,"SMB, TMB, SLG",1,11:45,NA:NA,2070
CONZBRIMA1,2016-05-21,"SMB, TMB",1,11:48,12:50,-99999
TOSCPAMMA1,2016-05-22,"SMB, TMB",1,12:00,12:58,1448
DODGEESMD1,2016-05-23,"JLM,KPK,AEH,ERF",1,00:01,NA:NA,-99999
BUCKLMSMD1,2016-05-24,"JLM,KPK,AEH,ERF",1,11:20,11:45,2912
NICKAESGA1,2016-04-26,"JLD,BNT",1,00:01,NA:NA,-99999
PLANANDGA1,2016-04-28,BNT,1,11:20,12:34,493
COOPEMSGA1,2016-04-29,"JLD,BNT",1,00:01,NA:NA,-99999
WICHJOHGA1,2016-05-02,BNT,1,10:45,11:52,330
EDWALINGA1,2016-05-06,BNT,1,11:15,12:22,962
RICHMSGA1,2016-05-09,"JLD,BNT",1,00:01,NA:NA,-99999
