siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
MUTRCYNMD1,2002-05-16,NA,NA,noData,8001-21312,NA,NA,T,NA
MERRJOAMD1,2002-04-17,NA,NA,noData,8001-21210,NA,NA,T,NA
MORAANGMD1,2002-04-21,NA,NA,noData,1141-05622,NA,NA,T,NA
MCKEJANMD1,2002-05-27,NA,NA,noData,791-17091,NA,NA,T,NA
MCKEJANMD1,2002-06-11,NA,NA,noData,791-17092,NA,NA,T,NA
FAGABERMD1,2002-07-01,NA,NA,noData,2250-24202,NA,NA,T,NA
SULLPAUVA1,2002-07-03,NA,NA,noData,791-17031,NA,NA,T,NA
NZPSMBCDC1,2002-07-02,NA,NA,noData,1751-51959,NA,NA,T,NA
NZPSMBCDC1,2002-07-02,NA,NA,noData,1751-51958,NA,NA,T,NA
NZPSMBCDC1,2002-04-11,NA,NA,noData,1141-05569,NA,NA,T,NA
NZPSMBCDC1,2002-06-14,NA,NA,noData,1751-51956,NA,NA,T,NA
UNGELAUDC1,2002-07-02,NA,NA,noData,791-17837,NA,NA,T,NA
WOODPAUVA1,2002-04-24,NA,NA,noData,8001-21318,NA,NA,T,NA
JACOAMYMD1,2002-05-19,NA,NA,noData,1141-05642,NA,NA,T,NA
JACOAMYMD1,2002-05-16,NA,NA,noData,8001-21316,NA,NA,T,NA
EVANMICMD1,2002-05-01,NA,NA,noData,2250-24242,NA,NA,T,NA
EVANMICMD1,2002-09-07,NA,NA,noData,791-17075,NA,NA,T,NA
EVANMICMD1,2002-05-10,NA,NA,noData,791-17076,NA,NA,T,NA
MAHOJIMMD1,2002-06-26,NA,NA,noData,1141-05605,NA,NA,T,NA
STANJEFMD1,2002-04-18,NA,NA,noData,2250-24404,NA,NA,T,NA
HUNTDAVMD2,2002-05-29,NA,NA,noData,791-17835,NA,NA,T,NA
REITBOBMD1,2002-05-01,NA,NA,noData,1721-48518,NA,NA,T,NA
BEALTOMMD1,2002-05-12,NA,NA,noData,1141-05597,NA,NA,T,NA
RAYTIMMD1,2002-05-30,NA,NA,noData,1141-05599,NA,NA,T,NA
CONNBARMD1,2002-06-24,NA,NA,noData,1751-51921,NA,NA,T,NA
STURCARMD1,2002-06-01,NA,NA,noData,1721-48501,NA,NA,T,NA
JOHNTHEMD1,2002-05-21,NA,NA,noData,791-17089,NA,NA,T,NA
REILJENMD1,2002-04-21,NA,NA,noData,8001-21321,NA,NA,T,NA
REILJENMD1,2002-05-29,NA,NA,noData,1141-05648,NA,NA,T,NA
RAUNERIMD1,2002-05-13,NA,NA,noData,1920-85903,NA,NA,T,NA
DANIBARMD1,2002-06-08,NA,NA,noData,1920-85901,NA,NA,T,NA
TUFTKATMD1,2002-08-01,NA,NA,noData,791-17801,NA,NA,T,NA
HUTCBARVA1,2002-06-15,NA,NA,noData,1141-05720,NA,NA,T,NA
HUTCBARVA1,2002-06-15,NA,NA,noData,1920-85930,NA,NA,T,NA
HUTCBARVA1,2002-07-15,NA,NA,noData,1141-05734,NA,NA,T,NA
GOUGGREMD1,2002-06-15,NA,NA,noData,791-17745,NA,NA,T,NA
BRUEELIMD1,2002-04-22,NA,NA,noData,1141-05724,NA,NA,T,NA
MANNJANDC1,2002-05-30,NA,NA,noData,1920-85917,NA,NA,T,NA
MANNJANDC1,2002-05-30,NA,NA,noData,1920-85919,NA,NA,T,NA
CALLJERMD1,2002-07-15,NA,NA,noData,1920-85940,NA,NA,T,NA
HEATSUEVA1,2002-08-26,NA,NA,noData,791-17820,NA,NA,T,NA
WIKACORMD1,2002-09-17,NA,NA,noData,820-94571,NA,NA,T,NA
BRUEELIMD1,2002-04-16,NA,NA,noData,1920-85920,NA,NA,T,NA
GEHRDALMD1,2002-07-09,NA,NA,noData,1751-51966,NA,NA,T,NA
CARLSHIMD1,2002-05-04,NA,NA,noData,2250-24229,NA,NA,T,NA
DORNROBMD1,2002-06-11,NA,NA,noData,1152-87548,NA,NA,T,NA
REITBOBMD1,2002-06-15,NA,NA,noData,1141-05572,NA,NA,T,NA
MISBJANMD1,2002-06-20,NA,NA,noData,1751-51944,NA,NA,T,NA
MAHOJIMMD1,2002-06-26,NA,NA,noData,1920-85922,NA,NA,T,NA
SCOLWENMD1,2002-05-26,NA,NA,noData,8001-21212,NA,NA,T,NA
TUFTKATMD1,2002-05-31,NA,NA,noData,2250-24051,NA,NA,T,NA
BRUEELIMD1,2002-06-27,NA,NA,noData,8001-21203,NA,NA,T,NA
BROWANNDC1,2002-04-01,NA,NA,noData,1152-87530,NA,NA,T,NA
BROWANNDC1,2002-05-27,NA,NA,noData,1751-51905,NA,NA,T,NA
MERRJOAMD1,2002-04-04,NA,NA,noData,1141-05441,NA,NA,T,NA
BURNNANMD1,2002-05-23,NA,NA,noData,2250-24265,NA,NA,T,NA
ANDRKENVA1,2002-05-24,NA,NA,noData,2250-24268,NA,NA,T,NA
MORAANGMD1,2002-04-21,NA,NA,noData,1141-05623,NA,NA,T,NA
GELLNERMD1,2002-06-21,NA,NA,noData,791-17073,NA,NA,T,NA
BLOCDAVMD1,2002-08-06,NA,NA,noData,2250-24246,NA,NA,T,NA
MANNJANDC1,2002-05-30,NA,NA,noData,2250-24415,NA,NA,T,NA
JACOAMYMD1,2002-05-19,NA,NA,noData,1141-05641,NA,NA,T,NA
RAYTIMMD1,2002-05-30,NA,NA,noData,1141-05598,NA,NA,T,NA
BALAELEMD1,2002-07-10,NA,NA,noData,2250-24210,NA,NA,T,NA
BLOCDAVMD1,2002-06-09,NA,NA,noData,2250-24245,NA,NA,T,NA
BARNDORMD1,2002-05-15,NA,NA,noData,2250-24410,NA,NA,T,NA
BURKSANMD1,2002-06-27,NA,NA,noData,2250-24064,NA,NA,T,NA
CAUSSUSMD1,2002-10-15,NA,NA,noData,2250-24024,NA,NA,T,NA
DANIBARMD1,2002-06-08,NA,NA,noData,820-94583,NA,NA,T,NA
DRAKBERMD1,2002-05-03,NA,NA,noData,1721-48514,NA,NA,T,NA
JACOAMYMD1,2002-05-19,NA,NA,noData,2250-24278,NA,NA,T,NA
OMLAKEVMD1,2002-06-04,NA,NA,noData,1141-05754,NA,NA,T,NA
PERRCHRMD1,2002-04-07,NA,NA,noData,2250-24001,NA,NA,T,NA
SANFCARMD1,2002-05-15,NA,NA,noData,2250-24048,NA,NA,T,NA
PICKCREMD1,2002-05-07,NA,NA,noData,2250-24256,NA,NA,T,NA
SERCGUEMD1,2002-06-26,NA,NA,noData,820-94576,NA,NA,T,NA
CONNBARMD1,2002-06-24,NA,NA,noData,2250-24057,NA,NA,T,NA
SULLPAUVA1,2002-04-28,NA,NA,noData,791-17030,NA,NA,T,NA
THOMSUEMD1,2002-05-28,NA,NA,noData,820-94584,NA,NA,T,NA
THOMSUEMD1,2002-04-09,NA,NA,noData,820-94585,NA,NA,T,NA
WOODPAUVA1,2002-05-09,NA,NA,noData,2250-24285,NA,NA,T,NA
MOSMCARMD1,2003-05-08,NA,NA,noData,1141-05713,NA,NA,T,NA
JONECBRMD1,2003-07-11,NA,NA,noData,791-17804,NA,NA,T,NA
FERRSUEMD1,2003-03-15,NA,NA,noData,791-17822,NA,NA,T,NA
GARDVALMD1,2003-04-25,NA,NA,noData,8209-74586,NA,NA,T,NA
GARDVALMD1,2003-04-25,NA,NA,noData,791-17018,NA,NA,T,NA
GARDVALMD1,2003-04-15,NA,NA,noData,820-94588,NA,NA,T,NA
WELLCARMD1,2003-07-04,NA,NA,noData,820-94594,NA,NA,T,NA
WISECELMD1,2003-07-03,NA,NA,noData,1141-05776,NA,NA,T,NA
GARDVALMD1,2003-04-15,NA,NA,noData,2250-24018,NA,NA,T,NA
NICHALIMD1,2003-05-30,NA,NA,noData,2250-24008,NA,NA,T,NA
WILLRAJMD1,2003-05-31,NA,NA,noData,791-17034,NA,NA,T,NA
GEHRDALMD1,2003-05-15,NA,NA,noData,1751-51968,NA,NA,T,NA
GOUGGREMD1,2003-07-12,NA,NA,noData,1751-51946,NA,NA,T,NA
GOUGGREMD1,2003-07-09,NA,NA,noData,1141-05576,NA,NA,T,NA
DORNROBMD1,2003-05-10,NA,NA,noData,1141-05552,NA,NA,T,NA
REITBOBMD1,2003-07-05,NA,NA,noData,2250-24027,NA,NA,T,NA
CAMPROSMD1,2003-07-02,NA,NA,noData,1141-05577,NA,NA,T,NA
GIBSELAMD1,2003-05-07,NA,NA,noData,1751-51984,NA,NA,T,NA
EDEREDWVA1,2003-04-15,NA,NA,noData,8001-21310,NA,NA,T,NA
EDEREDWVA1,2003-04-15,NA,NA,noData,1141-05631,NA,NA,T,NA
BERNCHRMD1,2003-07-02,NA,NA,noData,1141-05626,NA,NA,T,NA
SANFCARMD1,2003-05-12,NA,NA,noData,1751-51934,NA,NA,T,NA
KORRHARMD1,2003-06-05,NA,NA,noData,1751-51937,NA,NA,T,NA
SCHOPAUMD1,2003-05-05,NA,NA,noData,791-17081,NA,NA,T,NA
SPEYPAUMD1,2003-05-20,NA,NA,noData,1751-51997,NA,NA,T,NA
GOCHJOAMD1,2003-06-06,NA,NA,noData,791-17067,NA,NA,T,NA
NZPSMBCDC1,2003-07-14,NA,NA,noData,1751-51958,NA,NA,T,NA
NZPSMBCDC1,2003-11-23,NA,NA,noData,1141-05569,NA,NA,T,NA
JACOAMYMD1,2003-07-02,NA,NA,noData,1141-05642,NA,NA,T,NA
MOSMCARMD1,2003-03-15,NA,NA,noData,2250-24020,NA,NA,T,NA
RAYTIMMD1,2003-05-28,NA,NA,noData,1751-51923,NA,NA,T,NA
STURCARMD1,2003-08-30,NA,NA,noData,1721-48501,NA,NA,T,NA
MOSMCARMD1,2003-05-08,NA,NA,noData,791-17744,NA,NA,T,NA
ROHRSALMD1,2003-03-07,NA,NA,noData,1920-85916,NA,NA,T,NA
MOSMCARMD1,2003-05-08,NA,NA,noData,1141-05714,NA,NA,T,NA
GALLTERMD1,2003-06-21,NA,NA,noData,1141-05757,NA,NA,T,NA
GEHRDALMD1,2003-05-15,NA,NA,noData,1751-51966,NA,NA,T,NA
ANDRKENVA1,2003-05-29,NA,NA,noData,2250-24268,NA,NA,T,NA
HUTCBARVA1,2003-07-19,NA,NA,noData,2250-24271,NA,NA,T,NA
NZPSMBCDC1,2004-01-02,NA,NA,noData,1751-51960,NA,NA,T,NA
NZPSMBCDC1,2003-11-12,NA,NA,noData,1141-05568,NA,NA,T,NA
STURCARMD1,2003-05-11,NA,NA,noData,2250-24059,NA,NA,T,NA
JOHNTHEMD1,2003-05-05,NA,NA,noData,1152-87406,NA,NA,T,NA
DRAKBERMD1,2003-03-16,NA,NA,noData,2250-24078,NA,NA,T,NA
HUNTDAVMD2,2003-04-21,NA,NA,noData,2250-24403,NA,NA,T,NA
MCCOJOHMD1,2003-05-29,NA,NA,noData,1141-05751,NA,NA,T,NA
MISBJANMD1,2003-06-03,NA,NA,noData,2250-24032,NA,NA,T,NA
OWENJOHMD1,2003-04-30,NA,NA,noData,2250-24053,NA,NA,T,NA
STAVKORMD1,2003-06-14,NA,NA,noData,2250-24038,NA,NA,T,NA
RICHLIBMD1,2003-04-21,NA,NA,noData,2250-24288,NA,NA,T,NA
COLALISMD1,2003-06-04,NA,NA,noData,2250-90408,NA,NA,T,NA
COLSKATMD1,2003-03-06,NA,NA,noData,1141-05683,NA,NA,T,NA
GILLEVAMD1,2003-06-05,NA,NA,noData,8001-21410,NA,NA,T,NA
JACOAMYMD1,2003-07-02,NA,NA,noData,8001-21444,NA,NA,T,NA
BURNNANMD1,2003-07-15,NA,NA,noData,2250-90423,NA,NA,T,NA
BERNCHRMD1,2003-07-02,NA,NA,noData,8001-21424,NA,NA,T,NA
FREYFREMD1,2003-07-18,NA,NA,noData,8001-21427,NA,NA,T,NA
FREYFREMD1,2003-05-10,NA,NA,noData,8001-21429,NA,NA,T,NA
FREYFREMD1,2003-03-14,NA,NA,noData,1152-87425,NA,NA,T,NA
ODELVINMD1,2003-06-18,NA,NA,noData,2250-90430,NA,NA,T,NA
LERNJEFMD1,2003-06-06,NA,NA,noData,8001-21340,NA,NA,T,NA
MUTRCYNMD1,2003-06-20,NA,NA,noData,8001-21343,NA,NA,T,NA
JOHNTHEMD1,2003-05-05,NA,NA,noData,8001-21446,NA,NA,T,NA
SALOSHEMD1,2003-08-01,NA,NA,noData,1721-48525,NA,NA,T,NA
PERNMIKMD1,2003-04-30,NA,NA,noData,962-47801,NA,NA,T,NA
NATIGALDC1,2003-11-02,NA,NA,noData,2250-90447,NA,NA,T,NA
KINDFARMD1,2003-07-23,NA,NA,noData,1801-09421,NA,NA,T,NA
SINGTONMD1,2003-05-08,NA,NA,noData,1721-48568,NA,NA,T,NA
SINGTONMD1,2003-05-08,NA,NA,noData,8001-21463,NA,NA,T,NA
PERRCHRMD1,2003-05-29,NA,NA,noData,8001-21456,NA,NA,T,NA
JONECBRMD1,2003-07-11,NA,NA,noData,2250-90464,NA,NA,T,NA
LUCIDANMD1,2003-05-21,NA,NA,noData,8001-21475,NA,NA,T,NA
KORRHARMD1,2003-04-15,NA,NA,noData,8001-21474,NA,NA,T,NA
EARLNANMD1,2003-05-20,NA,NA,noData,1721-48583,NA,NA,T,NA
MOLIKARMD1,2003-05-09,NA,NA,noData,1801-09426,NA,NA,T,NA
HUNTBRIMD1,2003-05-02,NA,NA,noData,1721-48592,NA,NA,T,NA
GIBSELAMD1,2003-05-07,NA,NA,noData,2280-90103,NA,NA,T,NA
LORAJORMD1,2003-06-13,NA,NA,noData,8001-21481,NA,NA,T,NA
CANTBOBMD1,2003-04-15,NA,NA,noData,8001-21355,NA,NA,T,NA
CANTBOBMD1,2003-04-15,NA,NA,noData,8001-21357,NA,NA,T,NA
STURCARMD1,2003-07-30,NA,NA,noData,8001-21494,NA,NA,T,NA
STURCARMD1,2003-05-25,NA,NA,noData,8001-21495,NA,NA,T,NA
STURCARMD1,2003-05-04,NA,NA,noData,8001-21496,NA,NA,T,NA
BRENSTEMD1,2003-06-23,NA,NA,noData,1801-09513,NA,NA,T,NA
MCCOCHRMD1,2003-05-29,NA,NA,noData,1801-09415,NA,NA,T,NA
KRAMPAUMD1,2003-06-10,NA,NA,noData,1801-09466,NA,NA,T,NA
FREYFREMD1,2003-06-29,NA,NA,noData,1801-09490,NA,NA,T,NA
MCKEJANMD1,2003-06-28,NA,NA,noData,1801-09481,NA,NA,T,NA
MAHOJIMMD1,2003-05-24,NA,NA,noData,2250-24668,NA,NA,T,NA
MAHOJIMMD1,2003-05-24,NA,NA,noData,1801-09614,NA,NA,T,NA
MCLERICMD1,2003-06-12,NA,NA,noData,1801-09651,NA,NA,T,NA
HUNTDAVMD2,2003-05-22,NA,NA,noData,1801-09654,NA,NA,T,NA
HUNTBRIMD1,2003-05-02,NA,NA,noData,2250-24672,NA,NA,T,NA
HUNTBRIMD1,2003-05-02,NA,NA,noData,1801-09636,NA,NA,T,NA
SPEYPAUMD1,2003-05-20,NA,NA,noData,1801-09686,NA,NA,T,NA
MISBJANMD1,2003-06-03,NA,NA,noData,2250-24357,NA,NA,T,NA
MISBJANMD1,2003-06-03,NA,NA,noData,2250-24358,NA,NA,T,NA
MISBJANMD1,2003-06-03,NA,NA,noData,1801-09687,NA,NA,T,NA
ODELVINMD1,2003-06-18,NA,NA,noData,1801-09675,NA,NA,T,NA
STURCARMD1,2003-06-07,NA,NA,noData,2250-24394,NA,NA,T,NA
MAHOJIMMD1,2003-05-07,NA,NA,noData,2250-24697,NA,NA,T,NA
BROWANNDC1,2003-03-15,NA,NA,noData,962-47823,NA,NA,T,NA
FREYFREMD1,2003-06-22,NA,NA,noData,1320-00909,NA,NA,T,NA
WISECELMD1,2004-05-14,NA,NA,noData,1141-05776,NA,NA,T,NA
LLEISUEDC1,2004-06-23,NA,NA,noData,791-17070,NA,NA,T,NA
TUFTKATMD1,2004-07-02,NA,NA,noData,2250-24052,NA,NA,T,NA
BERNCHRMD1,2004-07-20,NA,NA,noData,8001-21305,NA,NA,T,NA
RAUNERIMD1,2004-07-08,NA,NA,noData,1141-05580,NA,NA,T,NA
PICKCREMD1,2004-04-20,NA,NA,noData,8001-21418,NA,NA,T,NA
NZPSMBCDC1,2004-04-19,NA,NA,noData,1751-51958,NA,NA,T,NA
NZPSMBCDC1,2004-04-19,NA,NA,noData,1141-05569,NA,NA,T,NA
CONNBARMD1,2004-06-08,NA,NA,noData,1751-51921,NA,NA,T,NA
OMLAKEVMD1,2004-06-07,NA,NA,noData,791-17834,NA,NA,T,NA
REIKROBMD1,2004-04-21,NA,NA,noData,1751-51912,NA,NA,T,NA
NZPSMBCDC1,2004-03-02,NA,NA,noData,1751-51960,NA,NA,T,NA
TATEJUAMD1,2004-05-27,NA,NA,noData,2250-24030,NA,NA,T,NA
OMLAKEVMD1,2004-06-07,NA,NA,noData,1920-85967,NA,NA,T,NA
REITBOBMD1,2004-05-03,NA,NA,noData,8001-21330,NA,NA,T,NA
PICKCREMD1,2004-04-20,NA,NA,noData,8001-21417,NA,NA,T,NA
FREYFREMD1,2004-03-28,NA,NA,noData,1152-87424,NA,NA,T,NA
FREYFREMD1,2004-04-18,NA,NA,noData,2250-90428,NA,NA,T,NA
BEALTOMMD1,2004-04-27,NA,NA,noData,8001-21430,NA,NA,T,NA
JOHNTHEMD1,2004-06-30,NA,NA,noData,8001-21446,NA,NA,T,NA
SALOSHEMD1,2004-06-24,NA,NA,noData,1721-48525,NA,NA,T,NA
SINGTONMD1,2004-07-07,NA,NA,noData,1721-48568,NA,NA,T,NA
LUCIDANMD1,2004-05-13,NA,NA,noData,8001-21475,NA,NA,T,NA
FOLEMARMD1,2004-05-27,NA,NA,noData,8001-21455,NA,NA,T,NA
FOLEMARMD1,2004-05-27,NA,NA,noData,1721-48565,NA,NA,T,NA
MEGOPATMD1,2004-06-01,NA,NA,noData,1721-48589,NA,NA,T,NA
TINIKATMD1,2004-05-07,NA,NA,noData,2250-90472,NA,NA,T,NA
STURCARMD1,2004-07-14,NA,NA,noData,8001-21495,NA,NA,T,NA
HUNTDAVMD2,2004-04-19,NA,NA,noData,1801-09655,NA,NA,T,NA
SINGTONMD1,2004-07-07,NA,NA,noData,1152-87457,NA,NA,T,NA
SINGTONMD1,2004-07-07,NA,NA,noData,1801-77804,NA,NA,T,NA
LERNJEFMD1,2004-05-23,NA,NA,noData,1801-77992,NA,NA,T,NA
STURCARMD1,2004-07-14,NA,NA,noData,2250-90370,NA,NA,T,NA
STURCARMD1,2004-07-14,NA,NA,noData,2250-90371,NA,NA,T,NA
HAMMBARMD1,2004-06-18,NA,NA,noData,1152-87585,NA,NA,T,NA
NZPSMBCDC1,2004-05-12,NA,NA,noData,8001-21396,NA,NA,T,NA
NZPSMBCDC1,2004-06-18,NA,NA,noData,4501-87504,NA,NA,T,NA
MANNJANDC1,2004-07-02,NA,NA,noData,1801-77906,NA,NA,T,NA
MEGOPATMD1,2004-06-01,NA,NA,noData,4501-87414,NA,NA,T,NA
WILLRAJMD1,2004-07-10,NA,NA,noData,1811-58695,NA,NA,T,NA
OBRICHRMD1,2004-07-09,NA,NA,noData,1152-87516,NA,NA,T,NA
MARRPETMD1,2004-06-03,NA,NA,noData,1870-35901,NA,NA,T,NA
MCCOJOHMD1,2004-06-15,NA,NA,noData,1801-09584,NA,NA,T,NA
SCHOPAUMD1,2004-06-08,NA,NA,noData,1801-77659,NA,NA,T,NA
WIKACORMD1,2004-04-22,NA,NA,noData,4501-87416,NA,NA,T,NA
RAUNERIMD1,2004-04-18,NA,NA,noData,1821-63317,NA,NA,T,NA
LORAJORMD1,2004-05-04,NA,NA,noData,1811-58697,NA,NA,T,NA
RAUNERIMD1,2004-07-08,NA,NA,noData,1821-66320,NA,NA,T,NA
STAVKORMD1,2004-06-02,NA,NA,noData,1841-58602,NA,NA,T,NA
CARLSHIMD1,2004-05-28,NA,NA,noData,1081-77953,NA,NA,T,NA
PATSNADMD1,2004-05-08,NA,NA,noData,1801-77822,NA,NA,T,NA
ONTAHOUDC1,2004-05-28,NA,NA,noData,1801-77957,NA,NA,T,NA
ONTAHOUDC1,2004-06-23,NA,NA,noData,1801-77970,NA,NA,T,NA
MUTRCYNMD1,2004-07-07,NA,NA,noData,1811-58698,NA,NA,T,NA
BLANBETMD1,2004-05-29,NA,NA,noData,1841-58606,NA,NA,T,NA
BAKEKYLDC1,2004-06-18,NA,NA,noData,4501-87418,NA,NA,T,NA
SIMOROSVA1,2004-06-07,NA,NA,noData,1801-77910,NA,NA,T,NA
SULLPAUVA1,2004-06-14,NA,NA,noData,1141-05837,NA,NA,T,NA
URBABETMD1,2004-05-11,NA,NA,noData,1801-77676,NA,NA,T,NA
URBABETMD1,2004-05-11,NA,NA,noData,1801-77677,NA,NA,T,NA
BARNDORMD1,2004-04-24,NA,NA,noData,1801-77838,NA,NA,T,NA
BERGMICMD1,2004-05-25,NA,NA,noData,2350-07604,NA,NA,T,NA
NZPSMBCDC1,2004-06-22,NA,NA,noData,1841-58708,NA,NA,T,NA
HUTCBARVA1,2004-05-26,NA,NA,noData,1901-20513,NA,NA,T,NA
EDEREDWVA1,2004-06-03,NA,NA,noData,1901-20510,NA,NA,T,NA
STURCARMD1,2004-07-14,NA,NA,noData,1841-58824,NA,NA,T,NA
HIRSHHODC1,2004-07-27,NA,NA,noData,1841-58822,NA,NA,T,NA
GOUGGREMD1,2004-06-21,NA,NA,noData,1841-58618,NA,NA,T,NA
SCOLWENMD1,2004-05-15,NA,NA,noData,1811-58814,NA,NA,T,NA
NZPSMBCDC1,2004-08-17,NA,NA,noData,4501-87512,NA,NA,T,NA
REITBOBMD1,2005-03-30,NA,NA,noData,1141-05571,NA,NA,T,NA
EDEREDWVA1,2005-03-25,NA,NA,noData,1141-05631,NA,NA,T,NA
SANFCARMD1,2005-05-31,NA,NA,noData,1751-51934,NA,NA,T,NA
SCHOPAUMD1,2005-06-27,NA,NA,noData,791-17081,NA,NA,T,NA
SULLPAUVA1,2005-06-30,NA,NA,noData,1141-05788,NA,NA,T,NA
NZPSMBCDC1,2005-02-04,NA,NA,noData,1141-05569,NA,NA,T,NA
TATEJUAMD1,2005-06-08,NA,NA,noData,2250-24030,NA,NA,T,NA
HADDMARMD1,2005-04-29,NA,NA,noData,2250-24213,NA,NA,T,NA
REITBOBMD1,2005-02-28,NA,NA,noData,8001-21330,NA,NA,T,NA
REUTSHAMD1,2005-07-12,NA,NA,noData,8001-21439,NA,NA,T,NA
JACOAMYMD1,2005-05-23,NA,NA,noData,8001-21442,NA,NA,T,NA
LUCIDANMD1,2005-04-25,NA,NA,noData,8001-21475,NA,NA,T,NA
OMLAKEVMD1,2005-07-06,NA,NA,noData,1721-48582,NA,NA,T,NA
MOLIKARMD1,2005-07-20,NA,NA,noData,1801-09426,NA,NA,T,NA
MCKEJANMD1,2005-05-11,NA,NA,noData,1801-09483,NA,NA,T,NA
HAMIMARMD1,2005-05-03,NA,NA,noData,1801-09622,NA,NA,T,NA
MISBJANMD1,2005-06-21,NA,NA,noData,1801-09689,NA,NA,T,NA
MCCAKEVMD1,2005-06-30,NA,NA,noData,1811-58685,NA,NA,T,NA
MOSMCARMD1,2005-06-11,NA,NA,noData,2250-24970,NA,NA,T,NA
NZPSMBCDC1,2005-03-14,NA,NA,noData,8001-21396,NA,NA,T,NA
NZPSMBCDC1,2005-03-02,NA,NA,noData,4501-87504,NA,NA,T,NA
MEGOPATMD1,2005-06-16,NA,NA,noData,4501-87414,NA,NA,T,NA
BORGRACMD1,2005-06-06,NA,NA,noData,1801-09580,NA,NA,T,NA
KORRHARMD1,2005-05-02,NA,NA,noData,1801-09592,NA,NA,T,NA
STANJEFMD1,2005-07-18,NA,NA,noData,962-47836,NA,NA,T,NA
TATEJUAMD1,2005-05-15,NA,NA,noData,742-29799,NA,NA,T,NA
BROWANNDC1,2005-05-19,NA,NA,noData,1152-87502,NA,NA,T,NA
NZPSMBCDC1,2005-06-29,NA,NA,noData,962-47704,NA,NA,T,NA
EDEREDWVA1,2005-06-30,NA,NA,noData,1901-20510,NA,NA,T,NA
NATIGALDC1,2005-07-28,NA,NA,noData,742-29709,NA,NA,T,NA
HIRSHHODC1,2005-06-07,NA,NA,noData,1841-58822,NA,NA,T,NA
BEALTOMMD1,2005-06-19,NA,NA,noData,1950-50471,NA,NA,T,NA
LUCIDANMD1,2005-04-25,NA,NA,noData,4501-87461,NA,NA,T,NA
EVANMICMD1,2005-07-22,NA,NA,noData,4501-87429,NA,NA,T,NA
SCOLWENMD1,2005-05-13,NA,NA,noData,1811-58814,NA,NA,T,NA
EDEREDWVA1,2005-06-17,NA,NA,noData,1891-87381,NA,NA,T,NA
GIBSELAMD1,2005-06-09,NA,NA,noData,742-29781,NA,NA,T,NA
WOLFKARDC1,2005-05-25,NA,NA,noData,4501-87456,NA,NA,T,NA
NZPSMBCDC1,2005-06-29,NA,NA,noData,1141-05888,NA,NA,T,NA
NZPSMBCDC1,2005-02-16,NA,NA,noData,4501-87512,NA,NA,T,NA
WILLCYNVA1,2005-05-05,NA,NA,noData,4501-87491,NA,NA,T,NA
CANTBOBMD1,2005-06-20,NA,NA,noData,2380-02420,NA,NA,T,NA
COLALISMD1,2005-05-11,NA,NA,noData,2350-07900,NA,NA,T,NA
FAGABERMD1,2005-05-10,NA,NA,noData,1951-20956,NA,NA,T,NA
FAGABERMD1,2005-05-10,NA,NA,noData,1901-20598,NA,NA,T,NA
GEHRDALMD1,2005-06-06,NA,NA,noData,1801-77866,NA,NA,T,NA
LERNJEFMD1,2005-05-12,NA,NA,noData,1951-20933,NA,NA,T,NA
LERNJEFMD1,2005-05-12,NA,NA,noData,1801-77992,NA,NA,T,NA
LERNJEFMD1,2005-05-12,NA,NA,noData,1951-20934,NA,NA,T,NA
MAHOJIMMD1,2005-05-04,NA,NA,noData,1951-20903,NA,NA,T,NA
MISSEDDC1,2005-05-23,NA,NA,noData,1801-77752,NA,NA,T,NA
NAYLMICMD1,2005-05-14,NA,NA,noData,1901-20657,NA,NA,T,NA
SCOLWENMD1,2005-05-13,NA,NA,noData,1901-20573,NA,NA,T,NA
SCOLWENMD1,2005-05-13,NA,NA,noData,1951-20937,NA,NA,T,NA
AMERICOMD1,2005-07-13,NA,NA,noData,1951-20913,NA,NA,T,NA
UNGELAUDC1,2005-05-17,NA,NA,noData,1951-20908,NA,NA,T,NA
NZPSMBCDC1,2006-09-27,NA,NA,noData,1751-51960,NA,NA,T,NA
NZPSMBCDC1,2006-03-27,NA,NA,noData,8001-21396,NA,NA,T,NA
NZPSMBCDC1,2006-07-15,NA,NA,noData,8001-21396,NA,NA,T,NA
STAVKORMD1,2006-07-13,NA,NA,noData,1841-58602,NA,NA,T,NA
EVANMICMD1,2006-07-05,NA,NA,noData,4501-87429,NA,NA,T,NA
REITBOBMD1,2006-05-25,NA,NA,noData,1851-95464,NA,NA,T,NA
WISECELMD1,2006-07-05,NA,NA,noData,742-29602,NA,NA,T,NA
NZPSMBCDC1,2006-08-25,NA,NA,noData,2241-18009,NA,NA,T,NA
NZPSMBCDC1,2007-03-11,NA,NA,noData,1751-51960,NA,NA,T,NA
MUTRCYNMD1,2007-06-01,NA,NA,noData,8001-21343,NA,NA,T,NA
MILLJOEMD1,2007-06-23,NA,NA,noData,1801-09520,NA,NA,T,NA
MILLJOEMD1,2007-06-22,NA,NA,noData,1801-09521,NA,NA,T,NA
SCHLROBMD1,2007-05-02,NA,NA,noData,1801-09460,NA,NA,T,NA
STANJEFMD1,2007-05-24,NA,NA,noData,1841-58841,NA,NA,T,NA
SCHILYDMD1,2007-03-15,NA,NA,noData,4501-87432,NA,NA,T,NA
NZPSMBCDC1,2007-06-07,NA,NA,noData,1141-05888,NA,NA,T,NA
CARLSHIMD1,2007-05-14,NA,NA,noData,1951-20916,NA,NA,T,NA
