siteID,date,observer,time,bandNumber,longitude,latitude,resightType,notes
GOUGGREMD1,2002-06-15,NA,NA,791-17747,NA,NA,T,"yearColumn = 2000, banded 15 june; yearColumn = 2001, resighted; yearColumn = 2002, resighted 15 June"
MCKEANNVA1,2002-07-03,NA,NA,1920-85951,NA,NA,T,"yearColumn = 2000, banded 6 July; yearColumn = 2002, resighted 3 July"
RABIANDMD1,2002-06-27,NA,NA,791-17750,NA,NA,T,"yearColumn = 2000, banded 20 July; yearColumn = 2001, resighted 20 June; yearColumn = 2002, resighted 27 June"
WELLCARMD1,2002-07-13,NA,NA,820-94595,NA,NA,T,"yearColumn = 2001, banded 25 April; yearColumn = 2002, resighted 13 July"
TINIKATMD1,2002-05-15,NA,NA,820-94593,NA,NA,T,"yearColumn = 2001, banded 23 April; yearColumn = 2002, resighted late May"
WISECELMD1,2002-05-19,NA,NA,791-17020,NA,NA,T,"yearColumn = 2001, banded 17 April; yearColumn = 2002, resighted 19 May"
WISECELMD1,2002-05-10,NA,NA,1141-05776,NA,NA,T,"yearColumn = 2001, banded 17 April; yearColumn = 2002, resighted 10 May; yearColumn = 2003, resighted 3-July; yearColumn = 2004, resighted 14 May"
MOLIKARMD1,2002-06-17,NA,NA,1751-51970,NA,NA,T,"yearColumn = 2001, banded 7 May; yearColumn = 2002, resighted 17 June"
CAINBRIMD1,2002-06-29,NA,NA,1751-51978,NA,NA,T,"yearColumn = 2001, banded 2 May; yearColumn = 2002, resighted 29 June"
CAINBRIMD1,2002-06-29,NA,NA,1751-51977,NA,NA,T,"yearColumn = 2001, banded 2 May; yearColumn = 2002, resighed 29 June"
HAMIMARMD1,2002-04-15,NA,NA,1751-51999,NA,NA,T,"yearColumn = 2001, banded 18 April; yearColumn = 2002, Resighted April"
NICHALIMD1,2002-06-09,NA,NA,2250-24008,NA,NA,T,"yearColumn = 2001, banded 24 April; yearColumn = 2002, resighted 9 June; yearColumn = 2003, resighted 30 May"
WILLRAJMD1,2002-06-22,NA,NA,1141-05790,NA,NA,T,"yearColumn = 2001, banded 9 May; yearColumn = 2002, resighted 22 June"
SINGTONMD1,2002-06-08,NA,NA,791-17024,NA,NA,T,"yearColumn = 2001, banded 24 April; yearColumn = 2002, resighted 8 June"
GEHRDALMD1,2002-07-09,NA,NA,1751-51968,NA,NA,T,"yearColumn = 2001, banded 8 May; yearColumn = 2002, resighted 9 July; yearColumn = 2003, Resighted 15 May"
CAINBRIMD1,2002-06-29,NA,NA,2250-24004,NA,NA,T,"yearColumn = 2001, banded 19 April; yearColumn = 2002, resighted 29 June"
CAINBRIMD1,2002-06-29,NA,NA,1141-05549,NA,NA,T,"yearColumn = 2001, banded 19 April; yearColumn = 2002, resighted 29 June"
HERBJOAMD1,2002-07-11,NA,NA,791-17049,NA,NA,T,"yearColumn = 2001, banded 18 May; yearColumn = 2002, resighted 11 July"
GOUGGREMD1,2002-10-09,NA,NA,1751-51946,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2002, resighted 9 Oct; yearColumn = 2003, resighted 12 July"
GOUGGREMD1,2002-06-20,NA,NA,1751-51945,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2002, resighted 20 June"
LUCIDANMD1,2002-06-21,NA,NA,1751-51954,NA,NA,T,"yearColumn = 2001, banded 14 May; yearColumn = 2002, resighted 21 June"
CARLSHIMD1,2002-05-01,NA,NA,791-17047,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2002, resighted 1 May"
FARYSIMMD1,2002-07-15,NA,NA,1141-05602,NA,NA,T,"yearColumn = 2001, banded 23 May; yearColumn = 2002, resighted 15 July"
MISBJANMD1,2002-09-13,NA,NA,1751-51943,NA,NA,T,"yearColumn = 2001, banded 22 May; yearColumn = 2002, resighted 13 Sept"
BARBJERMD1,2002-05-20,NA,NA,1141-05594,NA,NA,T,"yearColumn = 2001, banded 8 June; yearColumn = 2002, resighted 20 May"
BARBJERMD1,2002-04-02,NA,NA,1152-87532,NA,NA,T,"yearColumn = 2001, banded 8 June; yearColumn = 2002, resighted 2 April"
OBRICHRMD1,2002-06-29,NA,NA,1141-05609,NA,NA,T,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 29 June; yearColumn = 2003, found dead 31 Jan"
OBRICHRMD1,2002-06-29,NA,NA,1141-05610,NA,NA,T,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resighted 29 June"
COLALISMD1,2002-03-05,NA,NA,1751-51918,NA,NA,T,"yearColumn = 2001, banded 15 June; yearColumn = 2002, resighted 5 March"
MALLBARMD1,2002-04-19,NA,NA,1141-05440,NA,NA,T,"yearColumn = 2001, banded 19 June; yearColumn = 2002, resighted 19 April"
BERNCHRMD1,2002-04-28,NA,NA,1141-05626,NA,NA,T,"yearColumn = 2001, banded 19 June; yearColumn = 2002, resighted 28 April; yearColumn = 2003, resighted 2 July"
SANFCARMD1,2002-05-14,NA,NA,1141-05591,NA,NA,T,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted 14 May"
SANFCARMD1,2002-05-14,NA,NA,1751-51934,NA,NA,T,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted 14 May; yearColumn = 2003, resighted 12 May; yearColumn = 2004, resighted by participant; yearColumn = 2005, resighted 31 May"
WINGJERMD1,2002-07-09,NA,NA,1141-05603,NA,NA,T,"yearColumn = 2001, banded 24 May; yearColumn = 2002, resighted 9 July"
MCCAKEVMD1,2002-05-23,NA,NA,1751-51915,NA,NA,T,"yearColumn = 2001, banded 16 June; yearColumn = 2002, resighted 23 May; yearColumn = 2004, recaptured 30 June"
KORRHARMD1,2002-06-21,NA,NA,1751-51937,NA,NA,T,"yearColumn = 2001, banded 1 June; yearColumn = 2002, resighted 21 June; yearColumn = 2003, resighted 5 June"
KORRHARMD1,2002-06-21,NA,NA,1141-05584,NA,NA,T,"yearColumn = 2001, banded 1 June; yearColumn = 2002, resighted 21 June"
RAUNERIMD1,2002-03-23,NA,NA,1141-05580,NA,NA,T,"yearColumn = 2001, banded 24 May; yearColumn = 2002, resighted 23 March; yearColumn = 2004, resighted 8 July"
LERNJEFMD1,2002-05-13,NA,NA,2250-24074,NA,NA,T,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resighted 13 May"
HARWRANDC1,2002-06-24,NA,NA,1141-05446,NA,NA,T,"yearColumn = 2001, banded 25 June; yearColumn = 2002, resighted 24 June"
MUTRCYNMD1,2002-05-16,NA,NA,8001-21312,NA,NA,T,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resighted 16 May"
MERRJOAMD1,2002-04-17,NA,NA,8001-21210,NA,NA,T,"yearColumn = 2001, banded 20 June; yearColumn = 2002, resighted 17 April"
MORAANGMD1,2002-04-21,NA,NA,1141-05622,NA,NA,T,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resighted 21 April; yearColumn = 2003, recaptured 17 June"
MCKEJANMD1,2002-05-27,NA,NA,791-17091,NA,NA,T,"yearColumn = 2001, banded 8 June; yearColumn = 2002, resighted 27 May"
MCKEJANMD1,2002-06-11,NA,NA,791-17092,NA,NA,T,"yearColumn = 2001, banded 8 June; yearColumn = 2002, resighted 11 June"
FAGABERMD1,2002-07-01,NA,NA,2250-24202,NA,NA,T,"yearColumn = 2001, banded 30 April; yearColumn = 2002, resighted 1 July"
SULLPAUVA1,2002-07-03,NA,NA,791-17031,NA,NA,T,"yearColumn = 2001, banded 7 May; yearColumn = 2002, resighted 3 July; yearColumn = 2003, resighted 15 Mar by participant"
NZPSMBCDC1,2002-07-02,NA,NA,1751-51959,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2002, resighted 2 July"
NZPSMBCDC1,2002-07-02,NA,NA,1751-51958,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2002, resighted 2 July; yearColumn = 2003, resighted 14 July; yearColumn = 2004, resighted 19 April"
NZPSMBCDC1,2002-04-11,NA,NA,1141-05569,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2002, resighted 11 April; yearColumn = 2003, resighted 23 Nov; yearColumn = 2004, resighted 19 April; yearColumn = 2005, resighted 4 feb by participant"
NZPSMBCDC1,2002-06-14,NA,NA,1751-51956,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2002, resighted 14 June"
UNGELAUDC1,2002-07-02,NA,NA,791-17837,NA,NA,T,"yearColumn = 2001, banded 3 July; yearColumn = 2002, resighted 2 July"
WOODPAUVA1,2002-04-24,NA,NA,8001-21318,NA,NA,T,"yearColumn = 2001, banded 10 July; yearColumn = 2002, resighted 24 April; yearColumn = 2003, resighted by participant 13 May"
JACOAMYMD1,2002-05-19,NA,NA,1141-05642,NA,NA,T,"yearColumn = 2001, banded 6 July; yearColumn = 2002, resighted 19 May; yearColumn = 2003, resighted 2 July"
JACOAMYMD1,2002-05-16,NA,NA,8001-21316,NA,NA,T,"yearColumn = 2001, banded 6 July; yearColumn = 2002, resighted 16 May"
EVANMICMD1,2002-05-01,NA,NA,2250-24242,NA,NA,T,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resight 1 May"
EVANMICMD1,2002-09-07,NA,NA,791-17075,NA,NA,T,"yearColumn = 2001, banded 31 May; yearColumn = 2002, resight 7 Sept; yearColumn = 2003, resight 3 Feb"
EVANMICMD1,2002-05-10,NA,NA,791-17076,NA,NA,T,"yearColumn = 2001, banded 30 May; yearColumn = 2002, resight 10 May"
MAHOJIMMD1,2002-06-26,NA,NA,1141-05605,NA,NA,T,"yearColumn = 2001, banded 24 May; yearColumn = 2002, resighted 26 June"
STANJEFMD1,2002-04-18,NA,NA,2250-24404,NA,NA,T,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resighted 18 april"
HUNTDAVMD2,2002-05-29,NA,NA,791-17835,NA,NA,T,"yearColumn = 2001, banded 2 July; yearColumn = 2002, resighted 29 May; yearColumn = 2008, July 18, 2008 resighted"
REITBOBMD1,2002-05-01,NA,NA,1721-48518,NA,NA,T,"yearColumn = 2001, banded 2 July; yearColumn = 2002, resighted 1 May"
BEALTOMMD1,2002-05-12,NA,NA,1141-05597,NA,NA,T,"yearColumn = 2001, banded 12 June; yearColumn = 2002, resighted 12 May; yearColumn = 2003, found deceased in fall "
RAYTIMMD1,2002-05-30,NA,NA,1141-05599,NA,NA,T,"yearColumn = 2001, banded 12 June; yearColumn = 2002, resighted 30 May"
CONNBARMD1,2002-06-24,NA,NA,1751-51921,NA,NA,T,"yearColumn = 2001, banded 13 June; yearColumn = 2002, resighted 24 June; yearColumn = 2004, resighted 8 June"
STURCARMD1,2002-06-01,NA,NA,1721-48501,NA,NA,T,"yearColumn = 2001, banded 13June; yearColumn = 2002, resighted 1 June; yearColumn = 2003, resighted 30 Aug"
JOHNTHEMD1,2002-05-21,NA,NA,791-17089,NA,NA,T,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted 21 May"
REILJENMD1,2002-04-21,NA,NA,8001-21321,NA,NA,T,"yearColumn = 2001, banded 9 August; yearColumn = 2002, resighted 21 April"
REILJENMD1,2002-05-29,NA,NA,1141-05648,NA,NA,T,"yearColumn = 2001, banded 9 August; yearColumn = 2002, resighted 29 May; yearColumn = 2003, recap 13 May"
RAUNERIMD1,2002-05-13,NA,NA,1920-85903,NA,NA,T,"yearColumn = 2000, banded 2 June; yearColumn = 2002, resighted 13 May"
DANIBARMD1,2002-06-08,NA,NA,1920-85901,NA,NA,T,"yearColumn = 2001, banded 1 June; yearColumn = 2002, resighted 8 June"
TUFTKATMD1,2002-08-01,NA,NA,791-17801,NA,NA,T,"yearColumn = 2000, banded 7 June; yearColumn = 2001, resight 2 April; yearColumn = 2002, resight 1 August; yearColumn = 2003, resight 24 march by participant"
HUTCBARVA1,2002-06-15,NA,NA,1141-05720,NA,NA,T,"yearColumn = 2000, banded 17 June; yearColumn = 2001, resighted by participant August 2001; yearColumn = 2002, resighted June"
HUTCBARVA1,2002-06-15,NA,NA,1920-85930,NA,NA,T,"yearColumn = 2000, banded 17 June; yearColumn = 2001, resighted by participant August 2001; yearColumn = 2002, resighted June"
HUTCBARVA1,2002-07-15,NA,NA,1141-05734,NA,NA,T,"yearColumn = 2000, banded 17 June; yearColumn = 2001, resighted 22 June; yearColumn = 2002, resighted July"
GOUGGREMD1,2002-06-15,NA,NA,791-17745,NA,NA,T,"yearColumn = 2000, banded 15 June; yearColumn = 2002, resighted 15 June"
BRUEELIMD1,2002-04-22,NA,NA,1141-05724,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 9 May; yearColumn = 2002, resighted 22 April"
MANNJANDC1,2002-05-30,NA,NA,1920-85917,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2002, resighted 30 May"
MANNJANDC1,2002-05-30,NA,NA,1920-85919,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2002, resighted 30 May"
CALLJERMD1,2002-07-15,NA,NA,1920-85940,NA,NA,T,"yearColumn = 2000, banded 29 June; yearColumn = 2002, resighted July"
HEATSUEVA1,2002-08-26,NA,NA,791-17820,NA,NA,T,"yearColumn = 2000, banded 30 June; yearColumn = 2002, resighted 26 August
"
WIKACORMD1,2002-09-17,NA,NA,820-94571,NA,NA,T,"yearColumn = 2001, banded 26 March; yearColumn = 2002, resighted 17 September"
BRUEELIMD1,2002-04-16,NA,NA,1920-85920,NA,NA,T,"yearColumn = 2000, banded 14 June; yearColumn = 2001, resighted 3 May; yearColumn = 2002, resighted 16 April"
GEHRDALMD1,2002-07-09,NA,NA,1751-51966,NA,NA,T,"yearColumn = 2001, banded 8 May; yearColumn = 2002, resighted 9 July; yearColumn = 2003, resighted 15 May"
CARLSHIMD1,2002-05-04,NA,NA,2250-24229,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2002, resighted 4 May; yearColumn = 2003, Recap 11 June"
DORNROBMD1,2002-06-11,NA,NA,1152-87548,NA,NA,T,"yearColumn = 2001, banded 20 April; yearColumn = 2002, resighted 11 June"
REITBOBMD1,2002-06-15,NA,NA,1141-05572,NA,NA,T,"yearColumn = 2001, banded 15 May; yearColumn = 2002, resighted in June"
MISBJANMD1,2002-06-20,NA,NA,1751-51944,NA,NA,T,"yearColumn = 2001, banded 22 May; yearColumn = 2002, resighted 20 June"
MAHOJIMMD1,2002-06-26,NA,NA,1920-85922,NA,NA,T,"yearColumn = 2000, banded 16 June; yearColumn = 2001, resighted by participant  4 June; yearColumn = 2002, resighted 26 June"
SCOLWENMD1,2002-05-26,NA,NA,8001-21212,NA,NA,T,"yearColumn = 2001, banded 21 June; yearColumn = 2002, resighted 26 May; yearColumn = 2004, recap 3 July"
TUFTKATMD1,2002-05-31,NA,NA,2250-24051,NA,NA,T,"yearColumn = 2001, banded 11 June; yearColumn = 2002, resighted 31 May; yearColumn = 2003, resighted by participant spring 2003"
BRUEELIMD1,2002-06-27,NA,NA,8001-21203,NA,NA,T,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resighted 27 June"
BROWANNDC1,2002-04-01,NA,NA,1152-87530,NA,NA,T,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resighted 1 April; yearColumn = 2004, resighted by participant 20 March"
BROWANNDC1,2002-05-27,NA,NA,1751-51905,NA,NA,T,"yearColumn = 2001, banded 26 June; yearColumn = 2002, resighted 27 May; yearColumn = 2003, recaptured.25 Aug"
MERRJOAMD1,2002-04-04,NA,NA,1141-05441,NA,NA,T,"yearColumn = 2001, banded 20 June; yearColumn = 2002, resighted 4 April"
BURNNANMD1,2002-05-23,NA,NA,2250-24265,NA,NA,T,"yearColumn = 2001, banded 19 June; yearColumn = 2002, resighted 5/23"
ANDRKENVA1,2002-05-24,NA,NA,2250-24268,NA,NA,T,"yearColumn = 2001, banded 20 June; yearColumn = 2002, resighted 24 May; yearColumn = 2003, resighted 29 May"
MORAANGMD1,2002-04-21,NA,NA,1141-05623,NA,NA,T,"yearColumn = 2001, banded 18 June; yearColumn = 2002, resighted 21 April"
GELLNERMD1,2002-06-21,NA,NA,791-17073,NA,NA,T,"yearColumn = 2001, banded 30 May; yearColumn = 2002, resighted 21 June"
BLOCDAVMD1,2002-08-06,NA,NA,2250-24246,NA,NA,T,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resighted 6 Aug"
MANNJANDC1,2002-05-30,NA,NA,2250-24415,NA,NA,T,"yearColumn = 2001, Banded 22 June; yearColumn = 2002, resighted 30 May"
JACOAMYMD1,2002-05-19,NA,NA,1141-05641,NA,NA,T,"yearColumn = 2001, banded 6 July; yearColumn = 2002, resighted 19 May"
RAYTIMMD1,2002-05-30,NA,NA,1141-05598,NA,NA,T,"yearColumn = 2001, banded 12 June; yearColumn = 2002, resighted 30 May"
BALAELEMD1,2002-07-10,NA,NA,2250-24210,NA,NA,T,"yearColumn = 2001, banded 1 May; yearColumn = 2002, resighted 10 July"
BLOCDAVMD1,2002-06-09,NA,NA,2250-24245,NA,NA,T,"yearColumn = 2001, banded 2 June; yearColumn = 2002, resighted 9 June"
BARNDORMD1,2002-05-15,NA,NA,2250-24410,NA,NA,T,"yearColumn = 2001, banded 19 June; yearColumn = 2002, resighted 15 May"
BURKSANMD1,2002-06-27,NA,NA,2250-24064,NA,NA,T,"yearColumn = 2001, banded 14 June; yearColumn = 2002, resighted 27 June"
CAUSSUSMD1,2002-10-15,NA,NA,2250-24024,NA,NA,T,"yearColumn = 2001, banded 9 May; yearColumn = 2002, resighted October"
DANIBARMD1,2002-06-08,NA,NA,820-94583,NA,NA,T,"yearColumn = 2001, banded 6 April; yearColumn = 2002, resighted 8 June"
DRAKBERMD1,2002-05-03,NA,NA,1721-48514,NA,NA,T,"yearColumn = 2001, banded 28 June; yearColumn = 2002, resighted 3 May "
JACOAMYMD1,2002-05-19,NA,NA,2250-24278,NA,NA,T,"yearColumn = 2001, banded 6 July; yearColumn = 2002, resighted 19 May"
OMLAKEVMD1,2002-06-04,NA,NA,1141-05754,NA,NA,T,"yearColumn = 2000, banded 24 July; yearColumn = 2001, recaptured 9 April; yearColumn = 2002, resighted 4 June"
PERRCHRMD1,2002-04-07,NA,NA,2250-24001,NA,NA,T,"yearColumn = 2001, banded 17 April; yearColumn = 2002, resighted 7 April"
SANFCARMD1,2002-05-15,NA,NA,2250-24048,NA,NA,T,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted in May"
PICKCREMD1,2002-05-07,NA,NA,2250-24256,NA,NA,T,"yearColumn = 2001, banded 15 June
; yearColumn = 2002, resighted 7 May"
SERCGUEMD1,2002-06-26,NA,NA,820-94576,NA,NA,T,"yearColumn = 2001, banded 5 April; yearColumn = 2002, resighted 26 June"
CONNBARMD1,2002-06-24,NA,NA,2250-24057,NA,NA,T,"yearColumn = 2001, banded 13 June; yearColumn = 2002, resighted 24 June; yearColumn = 2003, recap 27 May"
SULLPAUVA1,2002-04-28,NA,NA,791-17030,NA,NA,T,"yearColumn = 2001, banded 7 May; yearColumn = 2002, resighted 28 April; yearColumn = 2003, resighted 4 May by participant; yearColumn = 2004, resighted 30 May by participant"
THOMSUEMD1,2002-05-28,NA,NA,820-94584,NA,NA,T,"yearColumn = 2001, banded 9 April; yearColumn = 2002, resighted 28 May"
THOMSUEMD1,2002-04-09,NA,NA,820-94585,NA,NA,T,"yearColumn = 2001, banded 9 April; yearColumn = 2002, resighted 9 april"
WOODPAUVA1,2002-05-09,NA,NA,2250-24285,NA,NA,T,"yearColumn = 2001, banded 10 july; yearColumn = 2002, resighted 9 May"
MOSMCARMD1,2003-05-08,NA,NA,1141-05713,NA,NA,T,"yearColumn = 2000, banded 3 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2003, resighted 8 May"
JONECBRMD1,2003-07-11,NA,NA,791-17804,NA,NA,T,"yearColumn = 2000, banded 9 June; yearColumn = 2002, resighted 11 June; yearColumn = 2003, resighted 11 July"
FERRSUEMD1,2003-03-15,NA,NA,791-17822,NA,NA,T,"yearColumn = 2000, banded 5 july; yearColumn = 2001, recaptured 6 June; yearColumn = 2002, resighted 4 June; yearColumn = 2003, last resighted March "
GARDVALMD1,2003-04-25,NA,NA,8209-74586,NA,NA,T,"yearColumn = 2001, banded 12 April; yearColumn = 2002, recaptured 23 May; resight 12 August; yearColumn = 2003, resight 25 April"
GARDVALMD1,2003-04-25,NA,NA,791-17018,NA,NA,T,"yearColumn = 2001, banded 12 April; yearColumn = 2003, resight 25 April"
GARDVALMD1,2003-04-15,NA,NA,820-94588,NA,NA,T,"yearColumn = 2001, banded 12 April; yearColumn = 2003, resight April"
WELLCARMD1,2003-07-04,NA,NA,820-94594,NA,NA,T,"yearColumn = 2001, banded 25 April; yearColumn = 2003, resighted 7/4/03"
WISECELMD1,2003-07-03,NA,NA,1141-05776,NA,NA,T,"yearColumn = 2001, banded 17 April; yearColumn = 2002, resighted 10 May; yearColumn = 2003, resighted 3-July; yearColumn = 2004, resighted 14 May"
GARDVALMD1,2003-04-15,NA,NA,2250-24018,NA,NA,T,"yearColumn = 2001, banded 1 May; yearColumn = 2003, resight April"
NICHALIMD1,2003-05-30,NA,NA,2250-24008,NA,NA,T,"yearColumn = 2001, banded 24 April; yearColumn = 2002, resighted 9 June; yearColumn = 2003, resighted 30 May"
WILLRAJMD1,2003-05-31,NA,NA,791-17034,NA,NA,T,"yearColumn = 2001, banded 9 May; yearColumn = 2003, resighted 31 May; yearColumn = 2004, recaptured 10 July"
GEHRDALMD1,2003-05-15,NA,NA,1751-51968,NA,NA,T,"yearColumn = 2001, banded 8 May; yearColumn = 2002, resighted 9 July; yearColumn = 2003, Resighted 15 May"
GOUGGREMD1,2003-07-12,NA,NA,1751-51946,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2002, resighted 9 Oct; yearColumn = 2003, resighted 12 July"
GOUGGREMD1,2003-07-09,NA,NA,1141-05576,NA,NA,T,"yearColumn = 2001, banded 17 May; yearColumn = 2003, resighted 9 July"
DORNROBMD1,2003-05-10,NA,NA,1141-05552,NA,NA,T,"yearColumn = 2001, banded 20 April ; yearColumn = 2002, recaptured 11 June; yearColumn = 2003, resighted 10 May"
REITBOBMD1,2003-07-05,NA,NA,2250-24027,NA,NA,T,"yearColumn = 2001, banded 15 May; yearColumn = 2003, resighted 5 July"
