siteID,region
GARDVALMD1,DC
GECACARVA1,DC
GEHRDALMD1,DC
GELLNERMD1,DC
GERYERIMD1,DC
GIBSELAMD1,DC
GIESALLVA1,DC
GILLEVAMD1,DC
GIRAANGMD1,DC
GOCHJOAMD1,DC
GOMEKARMD1,DC
GORDELIDC1,DC
GOROCARDC1,DC
GOUGGREMD1,DC
GRIFBETDC1,DC
GROSJEAMD1,DC
HADDMARMD1,DC
HALLDEBVA1,DC
HAMIMARMD1,DC
HAMMBARMD1,DC
HANNNANMD1,DC
HARRPHYMD1,DC
HARTPRIMD1,DC
HARWRANDC1,DC
HAWNJANVA1,DC
HAYFISCVA1,DC
HEATSUEVA1,DC
HELFGAIMD1,DC
HERBJOAMD1,DC
HERNELEVA1,DC
HESSNATVA1,DC
HIRSHHODC1,DC
HITCHBJMD1,DC
HOROBONVA1,DC
HULLJEFVA1,DC
HUNTBRIMD1,DC
HUNTDAVMD1,DC
HUNTDAVMD2,DC
HUTCBARVA1,DC
JACKALADC1,DC
JACOAMYMD1,DC
JACOMERMD1,DC
JACOSYDMD1,DC
JAKOELVVA1,DC
JAMESESVA1,DC
JEWELIBMD1,DC
JOHNAESVA1,DC
JOHNTHEMD1,DC
JONECBRMD1,DC
JORABONVA1,DC
JUBILHODC1,DC
KAMILEIVA1,DC
KAUFLAUMD1,DC
KAUFRAYMD1,DC
KENILWODC1,DC
KESTSABDC1,DC
KEYESUSMD1,DC
KIMBAESDC1,DC
KINDFARMD1,DC
KINGMANDC1,DC
KNIGSALVA1,DC
KORRHARMD1,DC
KOSLDREMD1,DC
KRAMPAUMD1,DC
LAFOMELVA1,DC
LAKEAESVA1,DC
LAMBAMYMD1,DC
LANDCELVA1,DC
LANGANKVA1,DC
LEONTESDC1,DC
LERNJEFMD1,DC
LIEBJUDMD1,DC
LINDHANMD1,DC
LLANMATMD1,DC
LLEISUEDC1,DC
LORAJORMD1,DC
LUCAJILMD1,DC
LUCIDANMD1,DC
LYCEEESMD1,DC
LYONLYNVA1,DC
MAGNDAVMD1,DC
MAGRPARMD1,DC
MAHOJIMMD1,DC
MALLBARMD1,DC
MANNJANDC1,DC
MARRPETMD1,DC
MARRPETMD2,DC
MASIADRMD1,DC
MASORICMD1,DC
MAZUJENMD1,DC
MCCAKEVMD1,DC
MCCOCHRMD1,DC
MCCOJOHMD1,DC
MCDOELIVA1,DC
MCGHDENMD1,DC
MCKEANNVA1,DC
MCKEJANMD1,DC
MCLERICMD1,DC
MCNAKRIMD1,DC
MEGOPATMD1,DC
MEGOPATMD2,DC
MERRJOAMD1,DC
MESEBARMD1,DC
MILLJOEMD1,DC
MILLLORVA1,DC
MILLPAUMD1,DC
MILTMIKVA1,DC
MISBJANMD1,DC
MISSEDDC1,DC
MITCBARMD1,DC
MOLIKARMD1,DC
MORAANGMD1,DC
MORAJANMD1,DC
MORRCHRVA1,DC
MORRJESMD1,DC
MOSMCARMD1,DC
MULLJOYVA1,DC
MURTERIMD1,DC
MUTRCYNMD1,DC
MUTRCYNVA1,DC
MUTRCYNVA2,DC
MYERBRUMD1,DC
NARADESVA1,DC
NATICATDC1,DC
NATIGALDC1,DC
NAYLMICMD1,DC
NAYLMICMD2,DC
NEWBCARVA1,DC
NICHALIMD1,DC
NICHSANMD1,DC
NORTHESMD1,DC
NZPAMAZDC1,DC
NZPBIRDDC1,DC
NZPEDZODC1,DC
NZPFRONVA1,DC
NZPSMBCDC1,DC
OBRICHRMD1,DC
ODELVINMD1,DC
ODELVINMD2,DC
OLONMARDC1,DC
OMLAKEVMD1,DC
ONTAHOUDC1,DC
OWENDORVA1,DC
OWENJOHMD1,DC
OWENKATMD1,DC
PADORAMVA1,DC
PALPARKDC1,DC
PANCSAMMD1,DC
PATCLORDC1,DC
PATSNADMD1,DC
PATTPARMD1,DC
PERNMIKMD1,DC
PERRCHRMD1,DC
PHARAIMMD1,DC
PHELCLADC1,DC
PICCLINMD1,DC
PICKCREMD1,DC
PIROELADC1,DC
POORLYNMD1,DC
PORTTESMD1,DC
RABIANDMD1,DC
RAUCDANMD1,DC
RAUNERIMD1,DC
RAUNERIMD2,DC
RAYTIMMD1,DC
RCPCG1DC1,DC
RCPDP1DC1,DC
RCPHC1DC1,DC
RCPHC2DC1,DC
RCPKM1DC1,DC
RCPNC1DC1,DC
RCPPH1DC1,DC
RCPPH2DC1,DC
RCPPH3DC1,DC
RCPPM1DC1,DC
RCPPM2DC1,DC
RCPRR1DC1,DC
RCPRS1DC1,DC
RCPSMBCDC1,DC
RCSVPARMD1,DC
REIKROBMD1,DC
REILJENMD1,DC
REIRJEAMD1,DC
REITBOBMD1,DC
REUTSHAMD1,DC
RICHLIBMD1,DC
ROGHTESMD1,DC
ROHRSALMD1,DC
ROSAPESMD1,DC
ROTHPAUVA1,DC
RUSSJODMD1,DC
SALAJENMD1,DC
SALOSHEMD1,DC
SANFCARMD1,DC
SARGMARMD1,DC
SCHILYDMD1,DC
SCHIMARMD1,DC
SCHLROBMD1,DC
SCHOPAUMD1,DC
SCHUDONMD1,DC
SCOLWENMD1,DC
SEMMLUTMD1,DC
SERCGUEMD1,DC
SHAYSARMD1,DC
SHEEMARMD1,DC
SILLSCOMD1,DC
SIMMJOAVA1,DC
SIMOROSVA1,DC
SINGDADMD1,DC
SINGTONMD1,DC
SINGVIRDC1,DC
SMITMARMD1,DC
SOLIAPRMD1,DC
SOLLCHRMD1,DC
SPEYPAUMD1,DC
STANJEFMD1,DC
STAVKORMD1,DC
STEWBETMD1,DC
STORPATMD1,DC
STUECHRVA1,DC
STUECHRVA2,DC
STURCARMD1,DC
SUBRSTEMD1,DC
SUITKATMD1,DC
SULLPAUVA1,DC
SWANELIMD1,DC
TANGLAUDC1,DC
TANKLAUDC1,DC
TATEJUAMD1,DC
TAYLGLOMD1,DC
TAYLOESVA1,DC
THOMCARMD1,DC
THOMMARDC1,DC
THOMSUEMD1,DC
TINIKATMD1,DC
TRAUPATVA1,DC
TRAUPATVA2,DC
TUFTKATMD1,DC
TUNICATMD1,DC
UNGELAUDC1,DC
UNK,DC
URBABETMD1,DC
VERSBETMD1,DC
VERSBETMD2,DC
VONGJENMD1,DC
VOSSCOLVA1,DC
WALKPATVA1,DC
WALTBONMD1,DC
WAPLEESVA1,DC
WARDDOUVA1,DC
WATSPATDC1,DC
WELLCARMD1,DC
WHEAWOOMD1,DC
WHITLAUDC1,DC
WIEBFRAMD1,DC
WIKACORMD1,DC
WILDANNVA1,DC
WILDANNVA2,DC
WILELINMD1,DC
WILLCYNVA1,DC
WILLMARVA1,DC
WILLRAJMD1,DC
WILLTERMD1,DC
WILLTINVA1,DC
WINGJERMD1,DC
WISECELMD1,DC
WOLFAMYDC1,DC
WOLFKARDC1,DC
WOODELEVA1,DC
WOODPAUVA1,DC
WOODROWVA1,DC
WRIGNOAMD1,DC
WRIGVENMD1,DC
YOUNELIMD1,DC
YOUNKIMVA1,DC
ZAMBTRAMD1,DC
ZEMKSYDVA1,DC
ZENKBOBMD1,DC
AAROJESFL1,Gainesville
ADAMVICFL1,Gainesville
ANDRJENFL1,Gainesville
BANDCATFL1,Gainesville
BLAUVICFL1,Gainesville
BLOOLEEFL1,Gainesville
BOUGROBFL1,Gainesville
BREMSARFL1,Gainesville
BRYAANGFL1,Gainesville
CAMPGINFL1,Gainesville
CAMPPAUFL1,Gainesville
CARLDAVFL1,Gainesville
CARRVIRFL1,Gainesville
CASEANNFL1,Gainesville
CHERNADFL1,Gainesville
CHURCARFL1,Gainesville
CIBUJEAFL1,Gainesville
COCKNICFL1,Gainesville
COCKTERFL1,Gainesville
COLLCLAFL1,Gainesville
COLLKEIFL1,Gainesville
COXANDFL1,Gainesville
CROSLEXFL1,Gainesville
DAYLAUFL1,Gainesville
DEENSHEFL1,Gainesville
DOUGSANFL1,Gainesville
DOWBENFL1,Gainesville
DOYLJAMFL1,Gainesville
DUFFSHAFL1,Gainesville
ELLIJONFL1,Gainesville
ENNEBECFL1,Gainesville
EWINSAMFL1,Gainesville
FAULCRAFL1,Gainesville
FIGUCHAFL1,Gainesville
FLAGMARFL1,Gainesville
FLAMSCOFL1,Gainesville
FREEJOHFL1,Gainesville
FULLPAMFL1,Gainesville
GIRLPLAFL1,Gainesville
GOWAGEOFL1,Gainesville
GOWAJOAFL1,Gainesville
GRANIANFL1,Gainesville
GRINJENFL1,Gainesville
HALLGRAFL1,Gainesville
HANLCORFL1,Gainesville
HAZZIANFL1,Gainesville
HEINANNFL1,Gainesville
HENJELAFL1,Gainesville
HERRJAYFL1,Gainesville
HOSTMARFL1,Gainesville
HOUSEPREFL1,Gainesville
INGRBENFL1,Gainesville
JACOSUSFL1,Gainesville
JONEHARFL1,Gainesville
